ID,ride_time,ride_lat,ride_lon,alight_lat,alight_lon,dispatch_time,type
0,1,37.45961642,127.16616552,37.45901867,127.17029034,0,0
1,3,37.43732312,127.16291812,37.43730647,127.16338016,0,0
2,1,37.44291687,127.15542603,37.44606018,127.16412354,0,0
3,4,37.36592313,127.1080881,37.36858066,127.11568379,0,0
4,0,37.38688939,127.12592552,37.37037925,127.12724107,0,0
5,1,37.44344605,127.14028792,37.43321909,127.14294708,0,0
6,3,37.43350959,127.13261375,37.4431872,127.15365523,0,0
7,6,37.43996429,127.15955353,37.43880844,127.16718292,0,0
8,5,37.34107971,127.10258484,37.32134628,127.09251404,0,0
9,2,37.38676639,127.12502739,37.40627312,127.11654812,0,0
10,0,37.43207574,127.12924322,37.47286232,127.13248271,0,0
11,6,37.43909836,127.12806702,37.45121002,127.1392746,0,0
12,6,37.38428247,127.12129425,37.38524723,127.11180237,0,0
13,6,37.36969712,127.11156363,37.36272298,127.11199685,0,0
14,2,37.41078026,127.13047334,37.44338622,127.1319216,0,0
15,0,37.42860413,127.14128876,37.3692131,127.23178864,0,0
16,10,37.45351411,127.1263934,37.45010222,127.13558965,0,0
17,10,37.38045883,127.12892914,37.37134933,127.13974762,0,0
18,12,37.43347771,127.1324506,37.44425443,127.12802786,0,0
19,2,37.4405282,127.16270017,37.41203344,127.12864836,0,0
20,1,37.4419763,127.14709521,37.43356113,127.21194824,0,0
21,5,37.36621094,127.1079483,37.34693146,127.08901978,0,0
22,6,37.46288936,127.17003584,37.43679222,127.20622513,0,0
23,9,37.43317413,127.13097382,37.44178772,127.13531494,0,0
24,7,37.38513022,127.12450117,37.36502695,127.12438666,0,0
25,0,37.4842717,127.10458126,37.38692768,127.07404081,0,0
26,2,37.38653183,127.1252594,37.44290543,127.13882446,0,0
27,10,37.43542862,127.13978577,37.46133423,127.16756439,0,0
28,6,37.41315079,127.15384674,37.42915726,127.14920807,0,0
29,5,37.43239975,127.12924194,37.43585587,127.21430206,0,0
30,6,37.41291046,127.12618256,37.46474075,127.1281662,0,0
31,10,37.44386373,127.15506734,37.42837812,127.13507191,0,0
32,8,37.38754272,127.12548828,37.45150375,127.16884613,0,0
33,14,37.34013748,127.10878754,37.33782196,127.12017059,0,0
34,0,37.39601135,127.11103821,37.39307022,127.23203278,0,0
35,12,37.45043182,127.16068268,37.44015121,127.17906952,0,0
36,0,37.39707947,127.11212921,37.26008224,127.21414185,0,0
37,12,37.40147018,127.11695099,37.36169052,127.11433411,0,0
38,18,37.44361877,127.14074707,37.44051743,127.13687897,0,0
39,16,37.43825136,127.16928727,37.4358458,127.16166467,0,0
40,13,37.41270501,127.12885565,37.43002728,127.09651521,0,0
41,13,37.37768948,127.13126855,37.34926969,127.12008118,0,0
42,15,37.35060759,127.10696907,37.37286887,127.11211645,0,0
43,16,37.444226,127.13038209,37.45035297,127.1267652,0,0
44,11,37.42829132,127.14538574,37.46099091,127.16711426,0,0
45,16,37.44581171,127.1676379,37.44139814,127.18082155,0,0
46,13,37.43828964,127.1693573,37.44130707,127.14105988,0,0
47,14,37.44092757,127.1472782,37.45485884,127.14981095,0,0
48,5,37.43182755,127.12911224,37.43653107,127.24317932,0,0
49,2,37.41305161,127.13041687,37.38570404,127.07420349,0,0
50,22,37.35073471,127.10891724,37.35088348,127.10891724,0,0
51,16,37.33844376,127.11032867,37.30897141,127.13543701,0,0
52,19,37.44312043,127.12784373,37.45590373,127.13470806,0,0
53,1,37.49861526,127.02716827,37.43299484,127.12703705,0,0
54,20,37.43902206,127.13809204,37.44259262,127.15242767,0,0
55,20,37.41233713,127.1292165,37.40974253,127.14291945,0,0
56,22,37.43349838,127.13243103,37.43452454,127.14306641,0,0
57,11,37.37191807,127.11393992,37.44792366,127.13343886,0,0
58,15,37.38639667,127.12418682,37.44954493,127.13369709,0,0
